Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,Responses Quantised
6003216,Effortlikert,Neutral,1008.mp4,NAHA,1000,NAHA6,NAHA6_Effortlikert,4
6003216,Successlikert,Somewhat Disagree,1008.mp4,NAHA,1000,NAHA6,NAHA6_Successlikert,3
6003216,Effortlikert,Somewhat Disagree,3002.mp4,NAHA,1001,NALA2,NALA2_Effortlikert,3
6003216,Successlikert,Neutral,3002.mp4,NAHA,1001,NALA2,NALA2_Successlikert,4
6003216,Effortlikert,Neutral,1001.mp4,NAHA,1004,NAHA2,NAHA2_Effortlikert,4
6003216,Successlikert,Somewhat Agree,1001.mp4,NAHA,1004,NAHA2,NAHA2_Successlikert,5
6003216,Effortlikert,Neutral,3007.mp4,NAHA,1005,NALA4,NALA4_Effortlikert,4
6003216,Successlikert,Somewhat Disagree,3007.mp4,NAHA,1005,NALA4,NALA4_Successlikert,3
6003216,Effortlikert,Somewhat Disagree,1000.mp4,NAHA,1006,NAHA1,NAHA1_Effortlikert,3
6003216,Successlikert,Neutral,1000.mp4,NAHA,1006,NAHA1,NAHA1_Successlikert,4
6003216,Effortlikert,Somewhat Disagree,1005.mp4,NAHA,1008,NAHA4,NAHA4_Effortlikert,3
6003216,Successlikert,Somewhat Disagree,1005.mp4,NAHA,1008,NAHA4,NAHA4_Successlikert,3
6003216,Effortlikert,Neutral,3004.mp4,NALA,3000,NALA3,NALA3_Effortlikert,4
6003216,Successlikert,Somewhat Disagree,3004.mp4,NALA,3000,NALA3,NALA3_Successlikert,3
6003216,Effortlikert,Somewhat Disagree,1006.mp4,NALA,3002,NAHA5,NAHA5_Effortlikert,3
6003216,Successlikert,Somewhat Disagree,1006.mp4,NALA,3002,NAHA5,NAHA5_Successlikert,3
6003216,Effortlikert,Somewhat Disagree,1004.mp4,NALA,3004,NAHA3,NAHA3_Effortlikert,3
6003216,Successlikert,Disagree,1004.mp4,NALA,3004,NAHA3,NAHA3_Successlikert,2
6003216,Effortlikert,Disagree,3000.mp4,NALA,3007,NALA1,NALA1_Effortlikert,2
6003216,Successlikert,Somewhat Disagree,3000.mp4,NALA,3007,NALA1,NALA1_Successlikert,3
6003216,Effortlikert,Somewhat Disagree,3009.mp4,NALA,3008,NALA6,NALA6_Effortlikert,3
6003216,Successlikert,Neutral,3009.mp4,NALA,3008,NALA6,NALA6_Successlikert,4
6003216,Effortlikert,Disagree,3008.mp4,NALA,3009,NALA5,NALA5_Effortlikert,2
6003216,Successlikert,Somewhat Disagree,3008.mp4,NALA,3009,NALA5,NALA5_Successlikert,3
6003216,WillingnesstoTryagainLikert,Somewhat likely,1008.mp4,NAHA,1000,NAHA6,NAHA6_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,3002.mp4,NAHA,1001,NALA2,NALA2_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6003216,WillingnesstoTryagainLikert,Neutral,3007.mp4,NAHA,1005,NALA4,NALA4_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Somewhat likely,1000.mp4,NAHA,1006,NAHA1,NAHA1_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NAHA,1008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Neutral,3004.mp4,NALA,3000,NALA3,NALA3_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Somewhat likely,1006.mp4,NALA,3002,NAHA5,NAHA5_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,1004.mp4,NALA,3004,NAHA3,NAHA3_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Neutral,3000.mp4,NALA,3007,NALA1,NALA1_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Neutral,3009.mp4,NALA,3008,NALA6,NALA6_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Neutral,3008.mp4,NALA,3009,NALA5,NALA5_WillingnesstoTryagainLikert,4
6003943,Effortlikert,Somewhat Agree,1000.mp4,NAHA,1000,NAHA1,NAHA1_Effortlikert,5
6003943,Successlikert,Disagree,1000.mp4,NAHA,1000,NAHA1,NAHA1_Successlikert,2
6003943,Effortlikert,Agree,3002.mp4,NAHA,1001,NALA2,NALA2_Effortlikert,6
6003943,Successlikert,Disagree,3002.mp4,NAHA,1001,NALA2,NALA2_Successlikert,2
6003943,Effortlikert,Somewhat Agree,1001.mp4,NAHA,1004,NAHA2,NAHA2_Effortlikert,5
6003943,Successlikert,Disagree,1001.mp4,NAHA,1004,NAHA2,NAHA2_Successlikert,2
6003943,Effortlikert,Neutral,3009.mp4,NAHA,1005,NALA6,NALA6_Effortlikert,4
6003943,Successlikert,Disagree,3009.mp4,NAHA,1005,NALA6,NALA6_Successlikert,2
6003943,Effortlikert,Neutral,3004.mp4,NAHA,1006,NALA3,NALA3_Effortlikert,4
6003943,Successlikert,Disagree,3004.mp4,NAHA,1006,NALA3,NALA3_Successlikert,2
6003943,Effortlikert,Neutral,3007.mp4,NAHA,1008,NALA4,NALA4_Effortlikert,4
6003943,Successlikert,Disagree,3007.mp4,NAHA,1008,NALA4,NALA4_Successlikert,2
6003943,Effortlikert,Somewhat Agree,1005.mp4,NALA,3000,NAHA4,NAHA4_Effortlikert,5
6003943,Successlikert,Disagree,1005.mp4,NALA,3000,NAHA4,NAHA4_Successlikert,2
6003943,Effortlikert,Somewhat Agree,1006.mp4,NALA,3002,NAHA5,NAHA5_Effortlikert,5
