Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6003216,WillingnesstoTryagainLikert,Somewhat likely,1008.mp4,NAHA,1000,NAHA6,NAHA6_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,3002.mp4,NAHA,1001,NALA2,NALA2_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6003216,WillingnesstoTryagainLikert,Neutral,3007.mp4,NAHA,1005,NALA4,NALA4_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Somewhat likely,1000.mp4,NAHA,1006,NAHA1,NAHA1_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NAHA,1008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Neutral,3004.mp4,NALA,3000,NALA3,NALA3_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Somewhat likely,1006.mp4,NALA,3002,NAHA5,NAHA5_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Somewhat likely,1004.mp4,NALA,3004,NAHA3,NAHA3_WillingnesstoTryagainLikert,5
6003216,WillingnesstoTryagainLikert,Neutral,3000.mp4,NALA,3007,NALA1,NALA1_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Neutral,3009.mp4,NALA,3008,NALA6,NALA6_WillingnesstoTryagainLikert,4
6003216,WillingnesstoTryagainLikert,Neutral,3008.mp4,NALA,3009,NALA5,NALA5_WillingnesstoTryagainLikert,4
6003943,WillingnesstoTryagainLikert,Unlikely,1000.mp4,NAHA,1000,NAHA1,NAHA1_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3002.mp4,NAHA,1001,NALA2,NALA2_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Very Unlikely,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,1
6003943,WillingnesstoTryagainLikert,Unlikely,3009.mp4,NAHA,1005,NALA6,NALA6_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3007.mp4,NAHA,1008,NALA4,NALA4_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,1005.mp4,NALA,3000,NAHA4,NAHA4_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NALA,3002,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6003943,WillingnesstoTryagainLikert,Unlikely,1008.mp4,NALA,3004,NAHA6,NAHA6_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3000.mp4,NALA,3007,NALA1,NALA1_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,3008.mp4,NALA,3008,NALA5,NALA5_WillingnesstoTryagainLikert,2
6003943,WillingnesstoTryagainLikert,Unlikely,1004.mp4,NALA,3009,NAHA3,NAHA3_WillingnesstoTryagainLikert,2
6004026,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NAHA,1000,NALA5,NALA5_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Somewhat likely,1001.mp4,NAHA,1001,NAHA2,NAHA2_WillingnesstoTryagainLikert,5
6004026,WillingnesstoTryagainLikert,Very Likely,1008.mp4,NAHA,1004,NAHA6,NAHA6_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3007.mp4,NAHA,1005,NALA4,NALA4_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,1005.mp4,NAHA,1006,NAHA4,NAHA4_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1008,NALA1,NALA1_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NALA,3000,NALA3,NALA3_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Likely,1004.mp4,NALA,3002,NAHA3,NAHA3_WillingnesstoTryagainLikert,6
6004026,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NALA,3004,NALA6,NALA6_WillingnesstoTryagainLikert,7
6004026,WillingnesstoTryagainLikert,Somewhat likely,3002.mp4,NALA,3007,NALA2,NALA2_WillingnesstoTryagainLikert,5
6004026,WillingnesstoTryagainLikert,Likely,1000.mp4,NALA,3008,NAHA1,NAHA1_WillingnesstoTryagainLikert,6
6004026,WillingnesstoTryagainLikert,Somewhat likely,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1000,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1001,NALA1,NALA1_WillingnesstoTryagainLikert,7
6004232,WillingnesstoTryagainLikert,Neutral,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Likely,3002.mp4,NAHA,1005,NALA2,NALA2_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Likely,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Somewhat likely,1008.mp4,NAHA,1008,NAHA6,NAHA6_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Likely,3007.mp4,NALA,3000,NALA4,NALA4_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Neutral,1000.mp4,NALA,3002,NAHA1,NAHA1_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Likely,3008.mp4,NALA,3004,NALA5,NALA5_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Likely,3009.mp4,NALA,3007,NALA6,NALA6_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NALA,3008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Neutral,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Very Likely,3004.mp4,NAHA,1000,NALA3,NALA3_WillingnesstoTryagainLikert,7
6005633,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1001,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Neutral,1008.mp4,NAHA,1004,NAHA6,NAHA6_WillingnesstoTryagainLikert,4
6005633,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NAHA,1005,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
